Book,Genres
The Kite Runner,"['Fiction', 'Historical Fiction', 'Classics', 'Contemporary', 'Novels', 'Historical', 'Literature']"
"The Giver (The Giver, #1)","['Young Adult', 'Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Fantasy', 'School']"
The Giving Tree,"['Childrens', 'Fiction', 'Picture Books', 'Classics', 'Poetry', 'Young Adult', 'Fantasy']"
Charlotte's Web,"['Classics', 'Fiction', 'Childrens', 'Fantasy', 'Young Adult', 'Middle Grade', 'Animals']"
Little Women,"['Classics', 'Fiction', 'Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Literature']"
"The Hunger Games (The Hunger Games, #1)","['Young Adult', 'Fiction', 'Dystopia', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']"
"The Hobbit (The Lord of the Rings, #0)","['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Young Adult', 'Science Fiction Fantasy', 'High Fantasy']"
Of Mice and Men,"['Classics', 'Fiction', 'School', 'Historical Fiction', 'Literature', 'Read For School', 'Novels']"
Fahrenheit 451,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'School', 'Literature', 'Novels']"
Green Eggs and Ham,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Fantasy', 'Humor']"
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']"
Wuthering Heights,"['Classics', 'Fiction', 'Romance', 'Gothic', 'Historical Fiction', 'Literature', '19th Century']"
Alice's Adventures in Wonderland / Through the Looking-Glass,"['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Literature', 'Adventure']"
The Picture of Dorian Gray,"['Classics', 'Fiction', 'Horror', 'Fantasy', 'Gothic', 'Literature', 'Novels']"
"Night  (The Night Trilogy, #1)","['Nonfiction', 'Classics', 'History', 'Memoir', 'Holocaust', 'Biography', 'School']"
Gone with the Wind,"['Classics', 'Historical Fiction', 'Fiction', 'Romance', 'Historical', 'War', 'Literature']"
The Holy Bible: King James Version,"['Religion', 'Classics', 'Nonfiction', 'Christian', 'Philosophy', 'History', 'Christianity']"
"Harry Potter and the Goblet of Fire (Harry Potter, #4)","['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']"
"The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)","['Science Fiction', 'Fiction', 'Humor', 'Classics', 'Fantasy', 'Comedy', 'Science Fiction Fantasy']"
Hamlet,"['Classics', 'Plays', 'Fiction', 'Drama', 'School', 'Literature', 'Theatre']"
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook']"
The Adventures of Huckleberry Finn,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Young Adult', 'Adventure', 'School']"
Tolkien On Fairy-stories,"['Fantasy', 'Classics', 'Essays', 'Fiction', 'Fairy Tales', 'Literary Criticism', 'Writing']"
Les Misérables,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'France', 'Historical', 'Novels']"
The Alchemist,"['Fiction', 'Classics', 'Fantasy', 'Philosophy', 'Novels', 'Spirituality', 'Self Help']"
Brave New World / Brave New World Revisited,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Fantasy']"
Crime and Punishment,"['Classics', 'Fiction', 'Russia', 'Literature', 'Russian Literature', 'Philosophy', 'Novels']"
The Help,"['Fiction', 'Historical Fiction', 'Historical', 'Adult', 'Adult Fiction', 'Classics', 'Contemporary']"
The Secret Garden,"['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Fantasy']"
Memoirs of a Geisha,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Classics', 'Japan', 'Adult']"
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)","['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Adventure']"
The Odyssey,"['Classics', 'Fiction', 'Poetry', 'Mythology', 'Fantasy', 'School', 'Literature']"
A Christmas Carol,"['Classics', 'Fiction', 'Christmas', 'Fantasy', 'Audiobook', 'Literature', 'Historical Fiction']"
"The Cat in the Hat (The Cat in the Hat, #1)","['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Fantasy', 'Humor']"
The Outsiders,"['Classics', 'Young Adult', 'Fiction', 'School', 'Read For School', 'Realistic Fiction', 'Coming Of Age']"
One Hundred Years of Solitude,"['Fiction', 'Classics', 'Magical Realism', 'Literature', 'Fantasy', 'Novels', 'Historical Fiction']"
The Grapes of Wrath,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Novels', 'School', 'American']"
A Thousand Splendid Suns,"['Fiction', 'Historical Fiction', 'Contemporary', 'Historical', 'Novels', 'War', 'Classics']"
"Anne of Green Gables (Anne of Green Gables, #1)","['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Childrens', 'Middle Grade', 'Audiobook']"
Where the Sidewalk Ends,"['Poetry', 'Childrens', 'Classics', 'Fiction', 'Humor', 'Young Adult', 'Picture Books']"
The Count of Monte Cristo,"['Classics', 'Fiction', 'Historical Fiction', 'Adventure', 'Literature', 'France', 'Historical']"
"Ender’s Game (Ender's Saga, #1)","['Science Fiction', 'Young Adult', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Dystopia', 'War']"
Where the Wild Things Are,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Fantasy', 'Adventure', 'Young Adult']"
The Color Purple,"['Classics', 'Fiction', 'Historical Fiction', 'Feminism', 'LGBT', 'Historical', 'African American']"
A Tale of Two Cities,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Historical', 'Novels', 'School']"
The Adventures of Tom Sawyer,"['Classics', 'Fiction', 'Adventure', 'Historical Fiction', 'Young Adult', 'Literature', 'Childrens']"
Life of Pi,"['Fiction', 'Fantasy', 'Classics', 'Adventure', 'Contemporary', 'Magical Realism', 'Novels']"
"The Handmaid’s Tale (The Handmaid's Tale, #1)","['Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Feminism', 'Fantasy', 'Adult']"
One Flew Over the Cuckoo's Nest,"['Classics', 'Fiction', 'Psychology', 'Literature', 'Novels', 'Mental Health', 'School']"
Frankenstein: The 1818 Text,"['Classics', 'Fiction', 'Horror', 'Science Fiction', 'Gothic', 'Fantasy', 'School']"
Flowers for Algernon,"['Fiction', 'Classics', 'Science Fiction', 'Young Adult', 'Psychology', 'Literature', 'School']"
"Oh, the Places You'll Go!","['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Fantasy', 'Young Adult']"
Anna Karenina,"['Classics', 'Fiction', 'Romance', 'Russia', 'Historical Fiction', 'Russian Literature', 'Literature']"
Tuesdays with Morrie,"['Nonfiction', 'Memoir', 'Biography', 'Classics', 'Inspirational', 'Philosophy', 'Self Help']"
Winnie-the-Pooh (Winnie-the-Pooh #1),"['Classics', 'Childrens', 'Fiction', 'Fantasy', 'Animals', 'Middle Grade', 'Audiobook']"
"The Fellowship of the Ring (The Lord of the Rings, #1)","['Fantasy', 'Classics', 'Fiction', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy']"
Slaughterhouse-Five,"['Classics', 'Fiction', 'Science Fiction', 'War', 'Historical Fiction', 'Literature', 'Novels']"
The Old Man and the Sea,"['Classics', 'Fiction', 'Literature', 'Novels', 'American', 'School', 'Adventure']"
Catch-22,"['Classics', 'Fiction', 'Historical Fiction', 'War', 'Humor', 'Literature', 'Novels']"
The Scarlet Letter,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'High School', 'Historical']"
Macbeth,"['Classics', 'Plays', 'Fiction', 'School', 'Drama', 'Read For School', 'Literature']"
"Twilight (The Twilight Saga, #1)","['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Vampires', 'Paranormal', 'Paranormal Romance']"
Lolita,"['Classics', 'Fiction', 'Literature', 'Novels', 'Russia', 'Romance', 'Russian Literature']"
The Metamorphosis,"['Classics', 'Fiction', 'Fantasy', 'Philosophy', 'Literature', 'Short Stories', 'School']"
The Time Traveler's Wife,"['Fiction', 'Romance', 'Fantasy', 'Time Travel', 'Science Fiction', 'Contemporary', 'Adult']"
Siddhartha,"['Classics', 'Fiction', 'Philosophy', 'Spirituality', 'Religion', 'Literature', 'Buddhism']"
The Stranger,"['Classics', 'Fiction', 'Philosophy', 'France', 'Literature', 'Novels', 'French Literature']"
Goodnight Moon,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Kids', 'Animals']"
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']"
A Tree Grows in Brooklyn,"['Classics', 'Fiction', 'Historical Fiction', 'Young Adult', 'Coming Of Age', 'Historical', 'New York']"
War and Peace,"['Classics', 'Fiction', 'Historical Fiction', 'Russia', 'Russian Literature', 'Literature', 'War']"
"The Little House Collection (Little House, #1-9)","['Classics', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade']"
A Clockwork Orange,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Horror', 'Novels']"
All Quiet on the Western Front,"['Classics', 'Fiction', 'Historical Fiction', 'War', 'Historical', 'Literature', 'School']"
The Stand,"['Horror', 'Fiction', 'Fantasy', 'Science Fiction', 'Post Apocalyptic', 'Thriller', 'Dystopia']"
Don Quixote,"['Classics', 'Fiction', 'Literature', 'Spanish Literature', 'Adventure', 'Historical Fiction', 'Novels']"
Uncle Tom's Cabin,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Historical', 'American', 'Novels']"
القرآن الكريم,"['Religion', 'Islam', 'Nonfiction', 'Classics', 'Philosophy', 'Reference', 'Spirituality']"
Atlas Shrugged,"['Fiction', 'Classics', 'Philosophy', 'Politics', 'Literature', 'Science Fiction', 'Novels']"
The Brothers Karamazov,"['Classics', 'Fiction', 'Russia', 'Literature', 'Russian Literature', 'Philosophy', 'Novels']"
The Poisonwood Bible,"['Fiction', 'Historical Fiction', 'Africa', 'Classics', 'Historical', 'Literary Fiction', 'Literature']"
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)","['Nonfiction', 'Classics', 'Memoir', 'Biography', 'Autobiography', 'Poetry', 'Feminism']"
The Book of Mormon: Another Testament of Jesus Christ,"['Religion', 'Nonfiction', 'Lds', 'Church', 'Spirituality', 'Classics', 'History']"
"Moby-Dick or, the Whale","['Classics', 'Fiction', 'Literature', 'Adventure', 'Historical Fiction', 'Novels', 'American']"
"The Da Vinci Code (Robert Langdon, #2)","['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Historical Fiction', 'Suspense', 'Adventure']"
Great Expectations,"['Classics', 'Fiction', 'Literature', 'Historical Fiction', 'School', 'Novels', '19th Century']"
"The Good Earth (House of Earth, #1)","['Classics', 'Fiction', 'Historical Fiction', 'China', 'Literature', 'Historical', 'Asia']"
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,"['Nonfiction', 'Biography', 'History', 'Christian', 'Memoir', 'Classics', 'Holocaust']"
Dracula,"['Classics', 'Horror', 'Fiction', 'Fantasy', 'Vampires', 'Gothic', 'Paranormal']"
"A Wrinkle in Time (Time Quintet, #1)","['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Science Fiction', 'Childrens', 'Middle Grade']"
The Fault in Our Stars,"['Young Adult', 'Romance', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Teen', 'Coming Of Age']"
Matilda,"['Childrens', 'Fiction', 'Classics', 'Fantasy', 'Middle Grade', 'Young Adult', 'Humor']"
The Perks of Being a Wallflower,"['Young Adult', 'Fiction', 'Contemporary', 'Classics', 'Mental Health', 'Realistic Fiction', 'LGBT']"
Brave New World,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'School']"
Sense and Sensibility,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Audiobook']"
The Princess Bride,"['Fantasy', 'Classics', 'Fiction', 'Romance', 'Humor', 'Young Adult', 'Adventure']"
The Iliad,"['Classics', 'Poetry', 'Fiction', 'Mythology', 'Literature', 'Fantasy', 'Historical Fiction']"
East of Eden,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Novels', 'American', 'Literary Fiction']"
Where the Red Fern Grows,"['Classics', 'Fiction', 'Young Adult', 'Childrens', 'Historical Fiction', 'Middle Grade', 'Animals']"
The Tell-Tale Heart and Other Writings,"['Classics', 'Horror', 'Fiction', 'Short Stories', 'Poetry', 'Mystery', 'Literature']"
Man's Search for Meaning,"['Nonfiction', 'Psychology', 'Philosophy', 'History', 'Self Help', 'Memoir', 'Biography']"
The Lorax,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Fantasy', 'Environment']"
"Catching Fire (The Hunger Games, #2)","['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']"
The Curious Incident of the Dog in the Night-Time,"['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Classics', 'Novels', 'Autistic Spectrum Disorder']"
The Declaration of Independence / The Constitution of the United States,"['History', 'Nonfiction', 'Politics', 'Classics', 'Philosophy', 'Reference', 'American History']"
"A Game of Thrones (A Song of Ice and Fire, #1)","['Fantasy', 'Fiction', 'Epic Fantasy', 'Adult', 'High Fantasy', 'Science Fiction Fantasy', 'Adventure']"
"Watership Down (Watership Down, #1)","['Classics', 'Fiction', 'Fantasy', 'Young Adult', 'Animals', 'Childrens', 'Adventure']"
The Bell Jar,"['Classics', 'Fiction', 'Feminism', 'Mental Health', 'Psychology', 'Literature', 'Mental Illness']"
"Charlie and the Chocolate Factory (Charlie Bucket, #1)","['Childrens', 'Fiction', 'Fantasy', 'Classics', 'Young Adult', 'Middle Grade', 'Humor']"
The Last Lecture,"['Nonfiction', 'Memoir', 'Biography', 'Self Help', 'Inspirational', 'Philosophy', 'Autobiography']"
Rebecca,"['Classics', 'Fiction', 'Mystery', 'Gothic', 'Romance', 'Historical Fiction', 'Thriller']"
The Velveteen Rabbit,"['Classics', 'Childrens', 'Fiction', 'Picture Books', 'Fantasy', 'Animals', 'Young Adult']"
"Dune (Dune, #1)","['Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Audiobook', 'Space Opera']"
And Then There Were None,"['Classics', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Mystery']"
The Fountainhead,"['Fiction', 'Classics', 'Philosophy', 'Literature', 'Novels', 'Politics', 'Architecture']"
The Lovely Bones,"['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Fantasy', 'Crime', 'Thriller']"
Alice in Wonderland,"['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Adventure', 'Literature']"
The Call of the Wild,"['Classics', 'Fiction', 'Adventure', 'Young Adult', 'Animals', 'Historical Fiction', 'Literature']"
"The Girl with the Dragon Tattoo (Millennium, #1)","['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary']"
"The Return of the King (The Lord of the Rings, #3)","['Fantasy', 'Fiction', 'Classics', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy']"
The Five People You Meet in Heaven,"['Fiction', 'Inspirational', 'Contemporary', 'Fantasy', 'Classics', 'Spirituality', 'Adult']"
Animal Farm / 1984,"['Classics', 'Fiction', 'Dystopia', 'Literature', 'Science Fiction', 'Politics', 'Fantasy']"
Perfume: The Story of a Murderer,"['Fiction', 'Classics', 'Historical Fiction', 'Horror', 'Mystery', 'Thriller', 'Crime']"
"Angela's Ashes (Frank McCourt, #1)","['Nonfiction', 'Memoir', 'Biography', 'Classics', 'Ireland', 'Autobiography', 'Biography Memoir']"
"The Wonderful Wizard of Oz (Oz, #1)","['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Adventure', 'Middle Grade']"
"The Two Towers (The Lord of the Rings, #2)","['Fantasy', 'Fiction', 'Classics', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy']"
Love You Forever,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Family', 'Love', 'Kids']"
Bridge to Terabithia,"['Fiction', 'Young Adult', 'Classics', 'Fantasy', 'Childrens', 'Middle Grade', 'Realistic Fiction']"
A Prayer for Owen Meany,"['Fiction', 'Classics', 'Contemporary', 'Literature', 'Literary Fiction', 'Novels', 'Historical Fiction']"
The Road,"['Fiction', 'Science Fiction', 'Dystopia', 'Post Apocalyptic', 'Classics', 'Horror', 'Literature']"
The Divine Comedy,"['Classics', 'Poetry', 'Fiction', 'Literature', 'Philosophy', 'Religion', 'Fantasy']"
A Midsummer Night's Dream,"['Classics', 'Plays', 'Fiction', 'Fantasy', 'Drama', 'School', 'Romance']"
A Story of Yesterday,"['Spanish Literature', 'Thriller', 'European Literature', 'Mystery', 'Magical Realism', 'Fiction', 'Drama']"
The Prophet,"['Poetry', 'Classics', 'Philosophy', 'Fiction', 'Spirituality', 'Religion', 'Literature']"
Persuasion,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Audiobook']"
The Name of the Rose,"['Fiction', 'Historical Fiction', 'Mystery', 'Classics', 'Historical', 'Literature', 'Italian Literature']"
"The Three Musketeers (The D'Artagnan Romances, #1)","['Classics', 'Fiction', 'Historical Fiction', 'Adventure', 'France', 'Literature', 'Historical']"
Water for Elephants,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary']"
"The Golden Compass (His Dark Materials, #1)","['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Adventure', 'Middle Grade', 'Science Fiction']"
The Boy in the Striped Pajamas,"['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'Holocaust', 'War']"
"The Pillars of the Earth (Kingsbridge, #1)","['Historical Fiction', 'Fiction', 'Historical', 'Fantasy', 'Classics', 'Medieval', 'Audiobook']"
How the Grinch Stole Christmas!,"['Childrens', 'Picture Books', 'Christmas', 'Classics', 'Fiction', 'Poetry', 'Fantasy']"
Jonathan Livingston Seagull,"['Fiction', 'Classics', 'Philosophy', 'Fantasy', 'Spirituality', 'Inspirational', 'Self Help']"
Oliver Twist,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', '19th Century', 'Novels', 'Classic Literature']"
The Secret Life of Bees,"['Fiction', 'Historical Fiction', 'Young Adult', 'Classics', 'Historical', 'Contemporary', 'Adult Fiction']"
"The Notebook (The Notebook, #1)","['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Adult Fiction', 'Classics']"
The Master and Margarita,"['Classics', 'Fiction', 'Russia', 'Fantasy', 'Russian Literature', 'Magical Realism', 'Literature']"
"Mockingjay (The Hunger Games, #3)","['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']"
The Complete Sherlock Holmes,"['Classics', 'Mystery', 'Fiction', 'Crime', 'Short Stories', 'Detective', 'Literature']"
In Cold Blood,"['Nonfiction', 'True Crime', 'Classics', 'Crime', 'Mystery', 'History', 'Thriller']"
The Crucible: A Play in Four Acts,"['Classics', 'Plays', 'Fiction', 'Historical Fiction', 'School', 'Drama', 'Read For School']"
Heart of Darkness,"['Classics', 'Fiction', 'Literature', 'Africa', 'Historical Fiction', 'School', 'Novels']"
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)","['Fiction', 'Historical Fiction', 'Mystery', 'Fantasy', 'Books About Books', 'Historical', 'Spain']"
The Red Tent,"['Historical Fiction', 'Fiction', 'Historical', 'Religion', 'Book Club', 'Feminism', 'Adult']"
Love in the Time of Cholera,"['Fiction', 'Classics', 'Historical Fiction', 'Romance', 'Magical Realism', 'Literature', 'Novels']"
The Glass Castle,"['Nonfiction', 'Memoir', 'Biography', 'Biography Memoir', 'Autobiography', 'Book Club', 'Adult']"
The Gift of the Magi,"['Classics', 'Short Stories', 'Fiction', 'Christmas', 'Romance', 'Holiday', 'Literature']"
The Unbearable Lightness of Being,"['Fiction', 'Classics', 'Philosophy', 'Literature', 'Novels', 'Czech Literature', 'Romance']"
"Eat, Pray, Love","['Nonfiction', 'Memoir', 'Travel', 'Biography', 'Romance', 'Chick Lit', 'Spirituality']"
"Interview with the Vampire (The Vampire Chronicles, #1)","['Horror', 'Fantasy', 'Fiction', 'Vampires', 'Paranormal', 'Classics', 'Gothic']"
The Canterbury Tales,"['Classics', 'Fiction', 'Poetry', 'Literature', 'School', 'Medieval', 'Short Stories']"
On the Road,"['Classics', 'Fiction', 'Travel', 'Literature', 'Novels', 'American', 'Adventure']"
The Art of War,"['Classics', 'Nonfiction', 'Philosophy', 'History', 'War', 'Politics', 'Business']"
Aesop's Fables,"['Classics', 'Fiction', 'Short Stories', 'Childrens', 'Fantasy', 'Literature', 'Mythology']"
The Screwtape Letters,"['Fiction', 'Christian', 'Classics', 'Religion', 'Christianity', 'Fantasy', 'Theology']"
Fight Club,"['Fiction', 'Classics', 'Contemporary', 'Thriller', 'Novels', 'Mystery', 'Adult']"
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,"['Fantasy', 'Fiction', 'Classics', 'Adventure', 'Science Fiction Fantasy', 'Epic Fantasy', 'High Fantasy']"
Dr. Jekyll and Mr. Hyde,"['Classics', 'Horror', 'Fiction', 'Science Fiction', 'Mystery', 'Gothic', 'Fantasy']"
Gulliver's Travels: Travels into Several Remote Nations of the World.,"['Classics', 'Fiction', 'Fantasy', 'Adventure', 'Literature', 'Novels', '18th Century']"
"The Godfather (The Godfather, #1)","['Fiction', 'Classics', 'Crime', 'Thriller', 'Historical Fiction', 'Mystery', 'Novels']"
Robinson Crusoe,"['Classics', 'Fiction', 'Adventure', 'Literature', 'Historical Fiction', 'Novels', '18th Century']"
Walden,"['Classics', 'Philosophy', 'Nonfiction', 'Nature', 'Memoir', 'Literature', 'Biography']"
The Origin of Species,"['Science', 'Nonfiction', 'Classics', 'Biology', 'Evolution', 'Philosophy', 'History']"
Invisible Man,"['Classics', 'Fiction', 'Literature', 'Race', 'Historical Fiction', 'African American', 'Novels']"
Emma,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Audiobook']"
The Prince,"['Classics', 'Philosophy', 'Nonfiction', 'Politics', 'History', 'Literature', 'Political Science']"
Sophie's World,"['Philosophy', 'Fiction', 'Classics', 'Young Adult', 'Novels', 'Fantasy', 'Literature']"
The Complete Grimm's Fairy Tales,"['Classics', 'Fantasy', 'Fiction', 'Fairy Tales', 'Short Stories', 'Childrens', 'Literature']"
The Trial,"['Classics', 'Fiction', 'Philosophy', 'Literature', 'German Literature', 'Novels', 'Dystopia']"
The Time Machine,"['Classics', 'Science Fiction', 'Fiction', 'Time Travel', 'Fantasy', 'Dystopia', 'Literature']"
"Watchmen (Watchmen, #1-12)","['Graphic Novels', 'Comics', 'Fiction', 'Science Fiction', 'Fantasy', 'Graphic Novels Comics', 'Comic Book']"
Roots: The Saga of an American Family,"['Historical Fiction', 'Fiction', 'Classics', 'Historical', 'African American', 'Africa', 'Race']"
Candide,"['Classics', 'Fiction', 'Philosophy', 'France', 'Literature', 'Humor', 'French Literature']"
Beloved,"['Fiction', 'Classics', 'Historical Fiction', 'Magical Realism', 'Literature', 'Historical', 'School']"
Atonement,"['Fiction', 'Historical Fiction', 'Classics', 'Romance', 'Historical', 'War', 'Literary Fiction']"
Go Ask Alice,"['Young Adult', 'Fiction', 'Classics', 'Contemporary', 'Mental Health', 'Realistic Fiction', 'Teen']"
My Sister's Keeper,"['Fiction', 'Contemporary', 'Chick Lit', 'Young Adult', 'Drama', 'Adult', 'Adult Fiction']"
Tuck Everlasting,"['Fantasy', 'Classics', 'Young Adult', 'Fiction', 'Childrens', 'Middle Grade', 'School']"
Stranger in a Strange Land,"['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Fantasy', 'Novels', 'Speculative Fiction']"
The Sun Also Rises,"['Classics', 'Fiction', 'Literature', 'Novels', 'Historical Fiction', 'American', 'Spain']"
"Divergent (Divergent, #1)","['Young Adult', 'Dystopia', 'Fantasy', 'Fiction', 'Science Fiction', 'Romance', 'Adventure']"
"The Mists of Avalon (Avalon, #1)","['Fantasy', 'Fiction', 'Historical Fiction', 'Arthurian', 'Mythology', 'Classics', 'Historical']"
Mere Christianity,"['Christian', 'Nonfiction', 'Religion', 'Theology', 'Christianity', 'Classics', 'Philosophy']"
The Tale of Peter Rabbit,"['Childrens', 'Classics', 'Picture Books', 'Fiction', 'Animals', 'Fantasy', 'Short Stories']"
The Phantom Tollbooth,"['Fantasy', 'Fiction', 'Classics', 'Childrens', 'Young Adult', 'Middle Grade', 'Adventure']"
The Things They Carried,"['Fiction', 'Historical Fiction', 'Classics', 'War', 'Short Stories', 'School', 'Historical']"
"The Lightning Thief (Percy Jackson and the Olympians, #1)","['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Childrens']"
"Murder on the Orient Express (Hercule Poirot, #10)","['Mystery', 'Classics', 'Fiction', 'Crime', 'Mystery Thriller', 'Thriller', 'Audiobook']"
Number the Stars,"['Historical Fiction', 'Young Adult', 'Fiction', 'Classics', 'Childrens', 'Historical', 'Middle Grade']"
